id,lon,lat,country
CYMH,-55.833,52.304,CAN
CYMA,-135.88,63.616,CAN
CYLW,-119.375,49.953,CAN
CYLU,-65.989,58.708,CAN
CYLT,-62.317,82.512,CAN
CYLL,-110.074,53.312,CAN
CYLK,-110.682,62.419,CAN
CYLJ,-108.519,54.126,CAN
CYLC,-69.88,62.85,CAN
CYLA,-69.598,59.302,CAN
CYKY,-109.175,51.517,CAN
CYKQ,-78.752,51.476,CAN
CYKL,-66.804,54.803,CAN
CYKF,-80.386,43.462,CAN
CYKA,-120.444,50.704,CAN
CYJT,-58.564,48.545,CAN
CYJF,-123.47,60.236,CAN
CYIV,-94.655,53.857,CAN
CYIO,-77.957,72.694,
CYIN,-121.681,51.265,CAN
CYIK,-77.925,62.417,
CYHZ,-63.5136,44.8781,CAN
CYHY,-115.781,60.839,CAN
CYHU,-73.415,45.516,CAN
CYHM,-79.936,43.173,CAN
CYHK,-95.851,68.633,
CYHE,-121.493,49.37,CAN
CYHD,-92.74,49.83,CAN
CYHA,-69.624,61.048,CAN
CYGX,-94.704,56.359,CAN
CYGW,-77.76,55.283,CAN
CYGV,-63.606,50.286,CAN
CYGT,-81.82,69.37,
CYGR,-61.775,47.425,
CYGP,-64.478,48.777,CAN
CYGL,-77.7,53.625,CAN
CYGK,-76.599,44.223,CAN
CYGE,-116.984,51.3,CAN
CYFT,-59.189,55.082,CAN
CYFS,-121.23,61.76,CAN
CYFR,-113.688,61.178,CAN
CYFO,-101.68,54.678,CAN
CYFC,-66.539,45.873,CAN
CYFB,-68.544,63.75,CAN
CYEV,-133.5,68.309,CAN
CYET,-116.455,53.58,CAN
CYER,-87.675,56.019,CAN
CYEN,-102.963,49.207,CAN
CYEK,-94.072,61.098,
CYEG,-113.592,53.308,CAN
CYED,-113.471,53.676,CAN
CYDQ,-120.188,55.741,CAN
CYDP,-61.684,56.549,
CYDL,-130.025,58.426,CAN
CYDF,-57.394,49.212,CAN
CYDC,-120.514,49.468,CAN
CYDB,-139.032,61.37,CAN
CYDA,-139.127,64.044,CAN
CYCY,-68.515,70.484,CAN
CYCX,-66.45,45.839,CAN
CYCS,-90.727,63.345,
CYCQ,-121.62,55.689,CAN
CYCP,-119.29,52.129,CAN
CYCK,-82.085,42.307,CAN
CYCG,-117.634,49.295,CAN
CYCD,-123.874,49.052,CAN
CYCA,-57.042,53.683,CAN
CYBW,-114.382,51.108,CAN
CYBV,-97.022,52.36,CAN
CYBU,-104.005,53.333,CAN
CYBR,-99.945,49.91,CAN
CYBQ,-98.511,58.707,CAN
CYBL,-125.269,49.951,CAN
CYBK,-96.078,64.306,CAN
CYBG,-70.989,48.331,CAN
CYBD,-126.589,52.388,CAN
CYBC,-68.202,49.135,CAN
CYBB,-89.792,68.536,CAN
CYAZ,-125.767,49.08,
CYAY,-56.081,51.39,CAN
CYAW,-63.507,44.636,CAN
CYAM,-84.504,46.484,CAN
CYAH,-73.676,53.757,CAN
CYAB,-85.029,73.003,CAN
CXZV,-66.26,50.217,CAN
CXZC,-80.618,51.292,
CXYH,-123.742,61.242,CAN
CXWN,-97.13,49.889,CAN
CXWM,-112.113,49.495,CAN
CXVN,-79.4,43.183,CAN
CXVM,-110.882,53.344,CAN
CXTV,-133.502,68.746,CAN
CXTP,-53.975,48.557,CAN
CXTO,-79.4,43.667,CAN
CXTN,-122.359,69.199,CAN
CXTH,-111.678,53.625,CAN
CXTD,-61.68,45.608,CAN
CXSH,-72.733,46.564,CAN
CXSE,-105.296,73.766,
CXRL,-111.691,54.503,CAN
CXRH,-57.878,49.57,CAN
CXRB,-94.983,74.716,CAN
CXPC,-80.044,45.344,CAN
CXOX,-105.27,55.146,CAN
CXNP,-64.241,45.76,CAN
CXNM,-60.673,46.818,CAN
CXMM,-111.221,56.649,CAN
CXMI,-63.534,44.602,
CXMG,-117.451,56.974,CAN
CXMD,-98.084,49.188,CAN
CXLL,-122.851,61.125,CAN
CXLC,-113.866,63.601,CAN
CXLB,-64.296,44.36,
CXKT,-64.478,45.067,CAN
CXKM,-111.873,52.849,CAN
CXKI,-80.0,48.15,CAN
CXKE,-75.637,45.005,CAN
CXKA,-82.443,49.405,CAN
CXIB,-60.406,46.663,CAN
CXHP,-116.48,55.396,CAN
CXHM,-79.905,43.286,CAN
CXHD,-112.246,53.185,CAN
CXHA,-82.896,42.033,CAN
CXGH,-96.984,50.631,CAN
CXFR,-118.44,56.081,CAN
CXET,-79.779,44.234,CAN
